CODIGO	MUNICIPIO	ENDERECO	COORD_GEO_LAT_GRAU	COORD_GEO_LONG_GRAU	Altitude	RECURSO_HIDRICO	DATA_COLETA	ANO_COLETA	Alcalinidade	Condutividade	DBO	IQA_DBO	DQO	Escherichia coli	Fosfato orto	Fósforo total	IQA_Ptot	Nitrato	Nitrito	Nitrogênio orgânico	Nitrogênio amoniacal	Nitrogênio Kjeldahl	Nitrogênio total	IQA_NitroTot	Oxigênio dissolvido	%sat OD	IQA_OD	pH	IQA_pH	SDT	SST	Temperatura água	Temperatura ar	Transparência água	Turbidez	IQA_Turb	Vazao rio	Vazao	Coliformes termotol	IQA_coli	Sólidos totais	IQA_Sól_Tot	IQA_^OD	IQA_^temp_agua	IQA_^coli	IQA_^pH	IQA_^DBO	IQA_^NitroTot	IQA_^Ptot	IQA_^Turb	IQA_^Sól_Tot	IQA	latitude_corrigida	longitude_corrigida
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	06/08/1992	1992		40,00	1,000	88,37	60	192,00		0,090	77,58	3.600										6,58	82,31			13,00							240,00	31,89	85	86,00		1,580	1,681	1,698	1,000		1,545		1,428	0,000	-29,9338548	-50,6005399
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	09/12/1992	1992		55,00	3,000	69,06	43	40,00		0,046	87,79	3.400							4,900	57,805	55,94	6,67	84,67			24,00			26,00	55,75			50,00	47,21	107	85,06	1,982	1,580	1,783	1,703	1,116		1,564	1,379	1,427	0,000	-29,9338548	-50,6005399
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	06/08/1992	1992		30,00	1,000	88,37	60	240,00		0,060	84,40	3.300							10,300	98,176	98,72	6,20	69,80			13,50							300,00	29,99	81	86,06	2,183	1,580	1,665	1,664	1,000		1,558		1,428	0,000	-29,9505472	-51,0006352
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	06/08/1992	1992		50,00	3,000	69,06	60	24,00		0,210	55,38	3.200							8,800	82,924	88,26	6,37	75,99			13,00							30,00	52,92	105	85,18	2,142	1,580	1,814	1,681	1,116		1,494		1,427	0,000	-29,967144	-51,1840353
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	06/08/1992	1992		30,00	1,000	88,37	64	64,00		0,050	86,81	3.100							10,300	99,284	99,48	6,80	87,72			14,00							80,00	42,27	70	86,04	2,186	1,580	1,753	1,711	1,000		1,563		1,428	0,000	-29,9507487	-50,9341363
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	08/09/1992	1992		60,00	1,800	80,07	38	40,00		0,079	80,02	1.000							6,000	64,297	66,71	6,77	87,05			19,00		25					50,00	47,21	116	84,37	2,042	1,580	1,783	1,709	1,061		1,550		1,426	0,000	-29,9505453	-51,1173349
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	07/10/1992	1992		55,00	3,000	69,06	44	8,80				900							6,800	74,347	80,60	6,00	60,27			20,00		30					11,00	65,17	101	85,42	2,109	1,580	1,871	1,635	1,116				1,427	0,000	-29,9505453	-51,1173349
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	08/09/1992	1992		80,00	3,800	62,57	54	104,00		0,150	65,55	900							4,800	52,462	46,54	6,19	69,31			20,00		30					130,00	37,48	120	84,00	1,921	1,580	1,722	1,663	1,143		1,519		1,425	0,000	-29,967144	-51,1840353
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	08/09/1992	1992		60,00	1,000	88,37	38	40,00		0,002	99,26	800							8,020	89,431	92,63	6,63	83,65			21,00		40					50,00	47,21	96	85,66	2,159	1,580	1,783	1,701	1,000		1,584		1,428	0,000	-29,9507487	-50,9341363
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	07/10/1992	1992		70,00	3,000	69,06	48	64,00				700							4,400	48,090	39,58	6,40	76,96			20,00		30					80,00	42,27	104	85,25	1,869	1,580	1,753	1,684	1,116				1,427	0,000	-29,967144	-51,1840353
