"CODIGO","pH","DBO","E_coli","nitro_amon","nitro_kjeldahl","nitro_total","fosforo_total","temp_agua","turbidez","solidos_totais","oxigenio_dissolvido","Condutividade"
"87405500",7.01,9,461100,5.99,6.65,6.65,0.522,24.86,17.92,NA,0.36,279.6
"87405500",6.57,5,10390,1.86,3.6,3.6,0.332,17.08,17.5,NA,3.66,119.7
"87405500",6.44,3,31700,0.922,2.05,2.05,0.187,18.9,30,NA,2.65,104.6
"87405500",5.64,3,18600,1.19,1.96,1.96,0.21,23.78,16.85,NA,2.3,98.8
"87405500",6.7,21,50400,4.62,7.09,7.09,0.567,26.41,32,NA,2.53,263
"87405500",6.39,1,23300,0.648,3.9,3.9,0.286,16.53,31.42,NA,3.2,102.2
"87406900",6.8,21,192,9.84,12.9,12.9,1.3,23,129,208,NA,310
"87406900",6.2,NA,1280,5.41,10.3,10.3,0.654,19,199,245,0.4,230
"87406900",6.9,NA,336,8.15,10.7,10.7,1.09,27.8,33,187,0.1,102
"87406900",6.1,NA,432,1.15,11.75,11.75,1.33,26.2,75,168,0.1,261
"87406900",7,NA,408,18.5,21.6,21.6,2.79,31.9,55,279,0.1,576
"87406900",6.5,23,192,8.68,14.3,14.3,NA,26.2,54,249,0.1,440
"87406900",6.8,NA,1520,13.4,14.3,14.3,NA,25.6,70,234,0.2,348
"87406900",5.9,NA,576,6.72,8.96,8.96,1.01,28.9,58,154,0.2,228
"87406900",5.8,NA,12800,6.16,7.84,7.84,0.908,15.1,49,111,2.6,181.3
"87406900",6.2,NA,880,6.72,18.52,18.52,1.21,29.2,73,127,1.9,225
"87406900",5.8,NA,19.2,6.35,12.4,12.4,NA,29.2,69,152,0.1,188.5
"87406900",6.1,3,NA,1.24,NA,8.64,0.305,20,65,108,1.1,86.4
"87406900",7,NA,328,8.43,NA,39.13,1.4,29,64,175,0,56
"87406900",6.6,NA,136,NA,NA,NA,NA,NA,NA,NA,10.9,NA
"87406900",NA,NA,1300,5.73,NA,7.64,0.784,15,50,144,NA,180.9
"87406900",NA,3,32000,1.46,NA,2.1,0.245,16.1,45,99,5.3,83.5
"87406900",6.1,2,NA,2.69,NA,4.5,0.554,27,97,156,1.4,28.6
"87406900",NA,4,NA,2.35,NA,3.77,0.393,25,69,132,2.5,23.1
"87406900",NA,20,430000,16.2,NA,19.7,2.29,26.7,53,178,1,424
"87406900",6.9,NA,370000,4.91,NA,6.16,0.868,24,138,224,0.5,220
"87406900",6.8,2,140000,2.95,NA,4.57,NA,23.9,125,191,0.3,124
"87406900",NA,4,42000,2.63,NA,3.4,0.36,15.4,47,95,3.4,116.7
"87406900",NA,5,33000,2.48,NA,3.21,0.324,16,62,137,4,113.6
"87406900",6.6,4,NA,2.15,NA,3.92,NA,22,112,159,1.8,108
"87406900",7.2,4,23000,1.37,NA,2.36,0.26,15,63,109,NA,92
"87406900",NA,6,63000,4.55,NA,5.26,0.641,29,63,149,1.1,30
"87406900",NA,6,140000,3.78,NA,5.06,0.636,33,54,123,2.1,28.3
"87406900",8.6,28,90000,19.4,NA,25.1,NA,34.5,61,311,16,619
"87406900",6.8,1,NA,3.52,NA,4.22,0.499,23.6,60,169,0.5,177.4
"87406900",7.5,NA,2400,15.4,NA,21.3,2.16,31,51,290,5.6,125.2
"87406900",6.4,NA,30000,1.01,NA,2.3,0.413,15.5,95,165,3.8,73.1
"87406900",NA,NA,2400,12,NA,17.46,1.42,27.3,49,290,3.1,474
"87406900",7.5,NA,435,12.9,NA,15.8,1.5,28.1,39,250,2.2,435
"87406900",7.2,8,NA,4.11,NA,6.69,1.03,17.5,56,139,1.1,190
"87406900",6.7,7,NA,3.06,NA,4.03,0.419,19.1,47,144,NA,172.5
"87406900",6.8,8,24000,NA,NA,NA,0.877,28.8,74,171,0.4,102.8
"87406900",6.6,4,140000,1.8,NA,NA,0.517,21.9,65,124,2.7,90.5
"87406900",6.5,3,13,1.21,NA,2,0.28,13,NA,93,1.8,83.7
"87406900",NA,3,12000,0.827,NA,NA,0.056,18,NA,119,5.9,77.5
"87406900",7.1,1,NA,NA,NA,NA,0.09,13.2,NA,88,9.5,64.3
"87406900",6.5,10,170000,8.82,NA,NA,0.952,29.6,44,195,1.2,350
"87406900",6,5,NA,5.27,NA,NA,1.91,24,114,190,NA,209
"87406900",7,NA,20000,0.883,NA,NA,0.599,17.1,85,157,3.4,116
"87406900",6.9,4,28000,1.17,NA,NA,0.338,15.2,52,132,3.8,110.8
"87406900",7,2,NA,0.367,NA,NA,0.18,16.5,68,50,6.3,52.1
"87406900",NA,17,98000,NA,NA,NA,1.1,13.8,NA,129,0.7,370
"87406900",6.5,6,52000,NA,NA,NA,0.338,27,55,131,1.3,137
"87406900",6.2,1,1100,0.492,NA,NA,0.467,17.4,NA,118,10.3,66.4
"87406900",NA,2,1400,0.459,NA,NA,0.17,27,NA,71,NA,NA
"87406900",6.4,9,110000,0.03,NA,10.23,1.36,22.6,145,243,NA,225
"87406900",6.7,3,NA,5.91,NA,7.03,0.887,18.7,NA,82,2.4,187.5
"87406900",6.6,4,48800,0.155,NA,NA,0.622,27,NA,152,0.6,136.5
"87406900",7,4,61600,3.01,NA,3.91,0.741,24.9,NA,70,1.8,130.7
"87406900",6.5,3,18000,1.25,NA,1.8,0.313,17.4,NA,109,NA,80.3
"87406900",NA,2,NA,0.666,NA,1.32,NA,18,NA,128,NA,NA
"87406900",6.5,7,150000,9.9,NA,NA,0.726,29.7,39,183,4,254
"87406900",6.4,3,23600,1.18,NA,NA,0.089,16.7,64,104,3.8,88.2
"87406900",6.5,13,26100,0.78,NA,NA,0.259,19.5,45,101,5.1,82.4
"87406900",NA,6,86600,2.2,NA,NA,0.304,10,36,106,9.1,NA
"87406900",6.5,11,161000,8.76,NA,23.96,NA,19.8,48,158,0.1,257
"87406900",7.1,10,3400000,9.1,NA,9.9,NA,27.2,122,246,NA,238.6
"87406900",6.4,6,1200000,2.9,NA,6.7,NA,19.7,64,163,1.5,187.6
"87406900",6.4,4,1e+05,2.13,NA,9.5,NA,27.2,36,90,0.13,152.2
"87406900",6.8,2,20000,1.33,NA,7.8,NA,14.8,42,50,4.2,142.2
"87406900",6.5,7,150000,4.8,NA,6.5,NA,25,47,136,1.9,216.2
"87406900",6.4,7,12000,0.9,NA,1.37,NA,26,54,116,NA,131.2
"87406900",5.8,3,22600,0.03,NA,1.54,0.253,12.4,44,115,NA,90.9
"87406900",6.8,11,131000,5.2,NA,7.55,0.964,21.2,34,166,NA,NA
"87406900",7.3,NA,88400,6.16,NA,NA,NA,30.2,NA,NA,2.3,347.7
"87406900",6.3,NA,57940,NA,NA,NA,NA,17.6,32,122,2.4,152.4
"87406900",6.42,2,1440,0.774,NA,NA,0.221,21.16,NA,NA,2.09,70
"87406900",6.83,10,NA,2.05,3.04,3.04,0.312,18.55,52,NA,1.5,156.2
"87406900",6.28,1,NA,0.521,NA,NA,0.189,15.83,21,NA,5.21,74.1
"87406900",6.55,6,13500,3.11,7.59,7.59,0.444,21.84,44,NA,0.15,153
"87406900",6.88,4,13170,2.23,5.15,5.15,0.384,28.14,21.2,NA,0.63,137.1
"87406900",6.41,3,38730,1.11,NA,NA,0.345,22.58,52.1,NA,3,109.8
"87406900",6.32,3,3100,0.74,3.33,3.33,0.302,18.66,29.7,NA,3.1,62.7
"87406900",6.94,6,29500,5.1,5.5,5.5,0.775,26.3,18.05,NA,1.1,226.9
"87406900",6.69,5,28100,4.28,5.65,5.65,0.495,25.05,9.62,NA,0.42,213.9
"87406900",6.27,3,NA,2.13,2.18,2.18,0.491,16.34,25.31,NA,2.66,126.4
"87406900",6.38,2,11000,1.31,1.5,1.5,0.224,14,32.26,NA,4.76,91.9
"87406900",6.96,10,686700,6.57,8.12,8.12,0.582,25.2,18.05,NA,0.28,277.6
"87406900",6.58,4,26200,2.58,4,4,0.4,17.5,16,NA,2.85,140.5
"87406900",6.46,3,50400,0.19,1.93,1.93,0.216,18.95,22,NA,2.57,111
"87406900",5.6,4,23800,1.08,1.49,1.49,0.25,23.66,16.37,NA,1.95,108.9
"87406900",6.5,24,290900,4.59,5.8,5.8,0.652,25.15,81.29,NA,0.55,212
"87406900",6.14,1,10100,0.918,3.28,3.28,0.345,16.59,24.8,NA,3.21,109.7
"87409900",6.68,10,12.8,NA,NA,NA,1.53,28,14,214,2.9,230
"87409900",6.2,4,56,NA,NA,NA,NA,16,NA,94,5.1,68
"87409900",6.9,17,12.8,NA,NA,NA,NA,30,12,104,10.6,400
"87409900",6.67,5,NA,NA,NA,NA,0.715,30,18,122,6.3,230
"87409900",6.5,3,12.8,NA,NA,NA,0.39,24,11,20,2.3,150
"87409900",6.7,13,12.8,NA,NA,NA,0.95,24,17,223,2.2,137
"87409900",6.1,13,128,NA,4.22,4.22,0.59,19,NA,NA,2.1,109
"87409900",7.13,3,128,NA,NA,NA,0.285,27,10,134,0.5,105
"87409900",6.4,4,72,NA,NA,NA,NA,12,14,88,7.8,70
"87409900",6.9,2,2.4,NA,NA,NA,NA,14,36,56,6.1,70
"87409900",6.4,2,12.8,NA,NA,NA,0.226,23,18,117,4,61
"87409900",7.4,16,4,NA,5.94,5.94,NA,27,NA,137,5.7,210
"87409900",7.4,NA,72,NA,8.01,8.01,NA,27,9,135,0.6,29
"87409900",7.1,31,NA,NA,6.53,6.53,NA,29,NA,177,3.1,460
"87409900",7.4,NA,720,NA,2.82,2.82,0.261,23.3,46,98,2.1,137
"87409900",6.5,5,24,NA,3.16,3.16,0.297,28,57,91,NA,120
"87409900",6.3,6,72,NA,NA,NA,0.252,10.9,54,100,4.8,100
"87409900",5.5,2,NA,NA,1.9,1.9,0.201,15.3,65,133,5.7,95
"87409900",5.9,4,720,NA,8.15,8.15,0.834,27.1,46,142,NA,220
"87409900",6.4,5,9.6,NA,4.24,4.24,0.288,NA,70,131,5.6,110
"87409900",6,2,128,NA,NA,NA,0.278,27.3,52,120,0.4,111
"87409900",6.9,9,NA,NA,8.46,8.46,1.07,17.9,54,185,1.6,235
"87409900",8.4,NA,2419,NA,15.2,15.2,1.48,30.9,66,271,7.9,390
"87409900",7.6,NA,70,NA,12.8,12.8,1.15,29.3,44,243,10.6,378
"87409900",7.2,10,NA,NA,6.97,6.97,0.896,17.6,90,185,NA,211
"87409900",7,6,NA,NA,4.81,4.81,0.503,19.4,44,156,0.3,202
"87409900",6.9,12,190000,NA,NA,NA,0.958,29.1,121,599,0.3,153
"87409900",NA,11,140000,NA,NA,NA,0.924,14.5,NA,176,0.4,260
"87409900",6.3,2,9000,0.649,NA,NA,0.217,17.4,NA,106,9.8,77.1
"87409900",NA,2,23000,0.453,NA,NA,0.194,26,NA,71,NA,NA
"87409900",6.5,10,173000,3.75,NA,20.65,1.49,23,151,245,NA,242
"87409900",6.5,7,NA,5.34,NA,7.25,0.787,18.6,NA,56,2.1,192.7
"87409900",6.4,5,16,5.11,NA,6.99,0.787,27.8,NA,154,0.5,166.5
"87409900",6.5,5,51200,3.63,NA,NA,0.622,25.7,NA,64,0,120.7
"87409900",6.5,3,35000,1.3,NA,2.12,0.326,17.5,NA,109,NA,85.3
"87409900",NA,6,NA,0.78,NA,1.87,NA,18,NA,114,NA,NA
"87409900",6.5,12,150000,0.15,NA,NA,0.63,29.3,47,100,3.4,265
"87409900",6.6,NA,NA,NA,NA,NA,NA,21,NA,NA,0.32,249
"87409900",6.5,2,27500,0.94,NA,NA,0.224,19.6,42,97,5.8,86
"87409900",NA,7,43500,1.66,NA,NA,0.238,10,35,103,8.1,NA
"87409900",6.9,9,198600,8.32,NA,23.52,NA,20,47,151,0.1,290
"87409900",7.2,8,240000,8.9,NA,9.1,NA,25.4,123,240,NA,249.7
"87409900",6.4,6,35000,2.5,NA,14.4,NA,19.7,61,171,0.3,202
"87409900",6.6,5,83680,2.02,NA,6.15,NA,16.4,60,105,3.5,174
"87409900",6.8,12,345000,3.9,NA,7.5,NA,25.7,36,140,1.8,248.2
"87409900",6.2,3,28000,1.4,NA,1.49,NA,26.6,48,103,NA,154.9
"87409900",6,2,8600,0.04,NA,1.59,0.232,12.4,40,75,NA,91.2
"87409900",6.9,18,190000,6,NA,8.35,1.01,21.2,28,145,NA,NA
"87409900",7,NA,20100,5.88,NA,NA,NA,30.8,NA,NA,4.5,285.4
"87409900",6.3,NA,29090,NA,NA,NA,NA,17.9,41,127,0.6,158.7
"87409900",6.5,4,6330,1.211,NA,NA,0.281,21.48,NA,NA,1.64,85.3
"87409900",6.81,6,NA,2.71,4.21,4.21,0.367,19.25,24,NA,1.02,166.8
"87409900",6.21,1,NA,0.617,NA,NA,0.226,15.91,23,NA,5.09,78.5
"87409900",6.61,6,34500,4,6.68,6.68,0.71,20.8,181.88,NA,0.7,171
"87409900",6.62,3,5650,1.64,NA,NA,0.316,24.37,33.08,NA,1.24,155.2
"87409900",6.24,3,47860,2.78,7.06,7.06,0.434,27.96,17.8,NA,0.94,154.3
"87409900",6.44,4,2000,0.815,1.11,1.11,0.269,19,22.5,NA,2.91,74.8
"87409900",7.08,8,71200,5.6,7.7,7.7,0.81,27.65,21.65,NA,3.16,244.7
"87409900",6.75,6,79400,4.26,7.8,7.8,0.533,24.75,9.68,NA,0.97,244.6
"87409900",6.67,5,64880,4.53,5.47,5.47,0.692,27,22.3,NA,0.92,234.1
"87409900",6.46,3,241500,2.99,4.18,4.18,0.534,17.56,21.04,NA,2.62,144.7
"87409900",6.61,2,21600,1.63,2.22,2.22,0.239,15.1,27.63,NA,4.38,114.9
"87409900",6.92,2,235900,5.27,7.07,7.07,0.542,26.69,12.77,NA,0.86,219.3
"87409900",6.63,4,16100,2.7,4.46,4.46,0.389,17.71,16,NA,2.34,157.6
"87409900",6.53,11,38400,2.21,2.46,2.46,0.266,19.3,16,NA,2.03,134.3
"87409900",5.59,4,26500,1.75,NA,NA,0.322,25.81,14.92,NA,1.66,127.2
"87409900",6.72,15,16000,2.62,3.54,3.54,0.367,26.84,21.84,NA,4.35,131
"87409900",6.63,23,13000,1.54,3.57,3.57,0.607,16.36,17.54,NA,3.98,117.1
