"3,30","7,50","4,30",,"5,00","2,70",
"7,30",,"7,10","6,10","4,90","1,20",
"8,70","6,10","9,80",,"3,80","3,40","3,40"
"6,50","5,20","9,00",,"2,50","3,80","5,80"
"7,60","8,70","8,80","3,60","0,90","6,30","8,10"
"4,90","7,60","7,20","4,40","3,10",,"3,60"
"7,00",,"5,80","7,20","4,20","1,30","0,32"
"6,40","5,60","5,50",,"0,50","2,10","2,20"
"3,10","13,10","4,30","5,40","3,70","0,70","6,00"
"3,50","5,80","3,70",,"3,10","10,30","0,70"
"3,10",,"5,00","6,40","3,00",,"0,10"
"5,90",,"6,80","10,50","2,50","0,60","3,50"
"3,40",,"2,60","5,20","0,20","1,80","0,30"
"5,00","8,10","5,50",,"2,10","2,40",
"3,20","7,30","5,00",,"0,30",,
"6,70","3,37","6,70",,"0,80",,"1,80"
"1,90","5,44","4,00","7,20","0,60",,
"6,80","5,52","2,70","4,80","1,10","4,00",
"8,00","6,10","4,30","7,40","1,80","5,10","2,40"
"3,50","3,77","1,90","11,90","1,90","9,10","4,50"
"5,60","6,18","2,80","8,50","3,20","3,80","0,60"
"7,20","5,41","4,50","3,10","3,50","2,80","1,64"
"4,00","6,16","3,00","2,70","6,20","2,50","5,09"
"1,90","6,50","3,20","5,40","10,90","0,13","1,02"
"10,90","8,12","2,60","5,03","1,10","0,10","0,13"
"6,80","6,35","2,60","3,90","2,50","4,20","0,94"
"7,10","6,81","4,00","3,42","5,00","1,50","2,91"
"9,80","7,08","6,60","5,12",,,"0,70"
"7,30","4,57","3,90","4,26","4,00",,"1,24"
"5,30","6,70","2,30","4,78","2,00","1,90","0,92"
"4,60",,"5,30","3,02","3,10",,"3,16"
"4,40",,"6,10","5,65","2,10",,"2,62"
"9,90",,,"7,34",,"2,50","4,38"
"3,80",,"12,00","2,48","4,60","2,30","0,97"
"4,70",,"6,80","1,62","2,60","2,40","0,86"
"3,00",,"5,20","4,43","2,80","2,09","2,03"
"1,10",,"5,70","6,72","2,00","5,21","2,34"
"2,20",,"6,70","4,32","3,50","1,50","1,66"
"7,20",,"5,90","2,53","4,60","0,29","4,35"
"7,20",,"6,30",,"5,00","0,63",
"2,00",,"3,20",,,"3,10",
"6,00",,"6,40",,"1,20","0,15",
"5,60",,"5,90",,"2,30","3,00",
"5,40",,"6,80",,"1,30","1,10",
"4,70",,,,"1,00","2,66",
"4,20",,"6,20",,"14,20","4,76",
"3,90",,"5,90",,"3,50","0,42",
"4,20",,"5,50",,"12,80","0,28",
"3,90",,"4,20",,"1,20","2,57",
"6,60",,"4,00",,"1,60","2,85",
"0,40",,"2,00",,"5,40","1,95",
"3,40",,"4,60",,"4,00","0,55",
"4,20",,"5,40",,"3,30",,
"5,80",,"7,20",,"6,50",,
"6,80",,"9,90",,"8,10",,
"5,60",,"4,80",,"0,70",,
,,"6,80",,"1,90",,
"3,50",,"5,70",,"1,10",,
"3,30",,"5,80",,"1,40",,
"3,80",,"4,60",,"1,30",,
"5,10",,"5,60",,"0,30",,
"4,90",,"5,80",,"5,50",,
"4,00",,"6,70",,"2,20",,
"1,70",,"3,30",,"5,80",,
"7,20",,"4,60",,"3,00",,
"6,50",,"8,50",,"1,40",,
"6,80",,"5,50",,"3,10",,
"5,60",,"6,80",,"3,80",,
"3,70",,"6,00",,"6,60",,
"4,90",,"4,40",,,,
,,"7,20",,"2,20",,
"8,70",,"5,70",,"1,60",,
,,"9,10",,"2,30",,
"3,70",,,,"8,30",,
"2,60",,"3,40",,,,
"5,70",,"6,70",,"1,00",,
,,"8,40",,"3,70",,
,,,,"4,80",,
,,,,,,
"6,80",,,,,,
,,,,,,
,,"6,60",,"1,70",,
"6,60",,,,"5,80",,
"2,80",,,,"9,80",,
"6,20",,"5,60",,"4,00",,
,,"5,70",,"3,10",,
"5,60",,"8,00",,"5,00",,
,,,,"1,30",,
"7,20",,"5,00",,"0,20",,
"6,40",,,,"4,50",,
"6,80",,"6,10",,"2,50",,
,,"13,80",,,,
,,"6,80",,,,
,,,,"1,80",,
"3,30",,,,,,
"5,70",,,,,,
"4,00",,"8,20",,"2,90",,
"12,40",,"7,10",,"0,50",,
"6,60",,"7,50",,"2,01",,
"3,37",,"12,30",,"5,27",,
"5,27",,"9,80",,"2,44",,
"4,61",,"5,80",,"0,25",,
"3,11",,"3,52",,"0,75",,
"2,43",,"5,96",,"3,29",,
"5,03",,"5,90",,"0,92",,
"3,90",,"4,88",,"3,17",,
"4,41",,"4,49",,"3,09",,
"1,32",,"6,92",,"5,04",,
"4,26",,"5,91",,"1,14",,
"7,45",,"6,70",,"0,36",,
"0,88",,"5,33",,"2,65",,
"0,38",,"4,99",,"3,66",,
"3,55",,"7,01",,"2,30",,
"5,25",,"7,89",,"2,53",,
"1,93",,"5,49",,,,
"1,90",,"3,90",,,,
,,"4,58",,,,
,,"7,55",,,,
,,"5,17",,,,
,,"7,00",,,,
